자치구,시간_구분,유출량,유입량,총 유출량,총 유입량,유출 비율(%),유입 비율(%)
강남구,비활성 시간,3206,3705,46761,39946,6.9,9.3
강남구,중간 시간,17779,17379,46761,39946,38.0,43.5
강남구,활성 시간,25776,18862,46761,39946,55.1,47.2
강동구,비활성 시간,2657,3778,36584,39251,7.3,9.6
강동구,중간 시간,18095,16702,36584,39251,49.5,42.6
강동구,활성 시간,15832,18771,36584,39251,43.3,47.8
강북구,비활성 시간,2584,2965,20202,19561,12.8,15.2
강북구,중간 시간,9143,8468,20202,19561,45.3,43.3
강북구,활성 시간,8475,8128,20202,19561,42.0,41.6
강서구,비활성 시간,2792,3828,34427,35609,8.1,10.8
강서구,중간 시간,14979,13919,34427,35609,43.5,39.1
강서구,활성 시간,16656,17862,34427,35609,48.4,50.2
관악구,비활성 시간,2815,3400,25270,24644,11.1,13.8
관악구,중간 시간,11739,9552,25270,24644,46.5,38.8
관악구,활성 시간,10716,11692,25270,24644,42.4,47.4
광진구,비활성 시간,4320,4664,48819,46833,8.8,10.0
광진구,중간 시간,22113,17960,48819,46833,45.3,38.3
광진구,활성 시간,22386,24209,48819,46833,45.9,51.7
구로구,비활성 시간,3714,5220,58740,59244,6.3,8.8
구로구,중간 시간,24600,25136,58740,59244,41.9,42.4
구로구,활성 시간,30426,28888,58740,59244,51.8,48.8
금천구,비활성 시간,941,1728,17985,18076,5.2,9.6
금천구,중간 시간,6075,7485,17985,18076,33.8,41.4
금천구,활성 시간,10969,8863,17985,18076,61.0,49.0
노원구,비활성 시간,5075,5614,48580,49543,10.4,11.3
노원구,중간 시간,22410,21491,48580,49543,46.1,43.4
노원구,활성 시간,21095,22438,48580,49543,43.4,45.3
도봉구,비활성 시간,3048,4545,34161,34593,8.9,13.1
도봉구,중간 시간,15962,14760,34161,34593,46.7,42.7
도봉구,활성 시간,15151,15288,34161,34593,44.4,44.2
동대문구,비활성 시간,4920,8080,57403,61599,8.6,13.1
동대문구,중간 시간,27373,24652,57403,61599,47.7,40.0
동대문구,활성 시간,25110,28867,57403,61599,43.7,46.9
동작구,비활성 시간,3477,5198,39616,40268,8.8,12.9
동작구,중간 시간,18653,16010,39616,40268,47.1,39.8
동작구,활성 시간,17486,19060,39616,40268,44.1,47.3
마포구,비활성 시간,4736,4715,57333,57285,8.3,8.2
마포구,중간 시간,23457,24743,57333,57285,40.9,43.2
마포구,활성 시간,29140,27827,57333,57285,50.8,48.6
서대문구,비활성 시간,3133,4460,41375,38239,7.6,11.7
서대문구,중간 시간,20042,15528,41375,38239,48.4,40.6
서대문구,활성 시간,18200,18251,41375,38239,44.0,47.7
서초구,비활성 시간,2562,3099,36261,35144,7.1,8.8
서초구,중간 시간,14743,15238,36261,35144,40.7,43.4
서초구,활성 시간,18956,16807,36261,35144,52.3,47.8
성동구,비활성 시간,5493,6672,73579,73322,7.5,9.1
성동구,중간 시간,29389,32751,73579,73322,39.9,44.7
성동구,활성 시간,38697,33899,73579,73322,52.6,46.2
성북구,비활성 시간,4234,5862,41001,41570,10.3,14.1
성북구,중간 시간,19825,17087,41001,41570,48.4,41.1
성북구,활성 시간,16942,18621,41001,41570,41.3,44.8
송파구,비활성 시간,4284,5357,60937,62589,7.0,8.6
송파구,중간 시간,27266,26577,60937,62589,44.7,42.5
송파구,활성 시간,29387,30655,60937,62589,48.2,49.0
양천구,비활성 시간,3931,5319,50759,53511,7.7,9.9
양천구,중간 시간,24802,20826,50759,53511,48.9,38.9
양천구,활성 시간,22026,27366,50759,53511,43.4,51.1
영등포구,비활성 시간,5358,6868,83497,79016,6.4,8.7
영등포구,중간 시간,31635,33813,83497,79016,37.9,42.8
영등포구,활성 시간,46504,38335,83497,79016,55.7,48.5
용산구,비활성 시간,1909,2488,26757,26008,7.1,9.6
용산구,중간 시간,10878,10418,26757,26008,40.7,40.1
용산구,활성 시간,13970,13102,26757,26008,52.2,50.4
은평구,비활성 시간,1552,2748,18044,21129,8.6,13.0
은평구,중간 시간,8719,8141,18044,21129,48.3,38.5
은평구,활성 시간,7773,10240,18044,21129,43.1,48.5
종로구,비활성 시간,3486,3697,51852,46868,6.7,7.9
종로구,중간 시간,21946,22591,51852,46868,42.3,48.2
종로구,활성 시간,26420,20580,51852,46868,51.0,43.9
중구,비활성 시간,3384,2906,51116,45959,6.6,6.3
중구,중간 시간,21403,22194,51116,45959,41.9,48.3
중구,활성 시간,26329,20859,51116,45959,51.5,45.4
중랑구,비활성 시간,2902,4120,28031,30443,10.4,13.5
중랑구,중간 시간,13269,11607,28031,30443,47.3,38.1
중랑구,활성 시간,11860,14716,28031,30443,42.3,48.3
