자치구,시간_구분,대여_건수,반납_건수,|대여-반납|,빈대여소의비율,std,빈대여소시간,유출량,유입량,회전율,최대이용량,최소이용량,최대최소_편차,대여소_개수,면적,밀도(개/km²),이동량
강남구,비활성,24654,23648,1006,0.2327072152653548,0.005929204903354,6244,411,443,271.35955056179773,35009,1935,33074,189,39.51,4.783599088838269,32
강동구,비활성,33550,34465,915,0.110789652825051,0.0069212727732003,1953,351,482,581.3247863247864,40674,2346,38328,137,24.58,5.573637103336046,131
강북구,비활성,15216,14907,309,0.12008547008547,0.0064570938451311,1124,349,387,502.05,10667,1473,9194,69,23.61,2.922490470139772,38
강서구,비활성,68793,69028,235,0.1347840755735492,0.0146256519985809,3995,344,467,721.5759162303665,117428,4750,112678,217,41.43,5.237750422399228,123
관악구,비활성,24605,24254,351,0.1241657885493501,0.0078831267281434,1414,356,432,642.8815789473684,18205,2032,16173,95,29.57,3.2127155901251268,76
광진구,비활성,41546,39319,2227,0.1668211306765523,0.0145478531012779,2160,572,613,974.277108433735,43960,2672,41288,108,17.06,6.330597889800704,41
구로구,비활성,27885,29049,1164,0.1040823211875843,0.0144433352058302,1851,489,638,495.0782608695652,43786,2422,41364,124,20.12,6.163021868787276,149
금천구,비활성,9418,10418,1000,0.1001524601524601,0.0024034079314368,1119,132,208,264.48,20862,719,20143,79,13.0,6.076923076923077,76
노원구,비활성,49490,48514,976,0.1432627774909654,0.0128205705678392,3330,675,697,649.0331125827814,51828,3439,48389,170,35.44,4.796839729119639,22
도봉구,비활성,18979,20405,1426,0.092834188034188,0.0084789456793544,1064,385,572,525.12,20121,1593,18528,95,20.7,4.5893719806763285,187
동대문구,비활성,28027,32119,4092,0.0716854283927454,0.0049498314428122,917,637,1062,733.4878048780488,28576,2312,26264,104,14.2,7.323943661971831,425
동작구,비활성,18573,19911,1338,0.0899715099715099,0.0057407760880618,1004,444,691,520.0540540540541,16527,1542,14985,83,16.35,5.076452599388379,247
마포구,비활성,34065,30159,3906,0.244818376068376,0.0110368470681723,4583,628,572,539.6974789915967,48771,2132,46639,142,23.88,5.9463986599665,56
서대문구,비활성,14652,15782,1130,0.2052864830642608,0.0064035113939805,2594,409,537,375.7283950617284,16742,1219,15523,94,17.6,5.340909090909091,128
서초구,비활성,19684,18823,861,0.1500090285301552,0.0050131518363416,3323,335,372,261.95238095238096,32553,1220,31333,169,47.0,3.595744680851064,37
성동구,비활성,25364,24541,823,0.2367021276595744,0.0060620017962475,3471,722,843,530.9042553191489,40147,1866,38281,109,16.85,6.4688427299703255,121
성북구,비활성,20841,22320,1479,0.116096866096866,0.0027646584288717,1467,569,752,526.3536585365854,18997,1670,17327,99,24.56,4.030944625407166,183
송파구,비활성,62134,61532,602,0.1406398385565052,0.0092252392960844,4739,541,662,569.889400921659,92958,4013,88945,244,33.88,7.201889020070838,121
양천구,비활성,38362,39286,924,0.0758056927781698,0.0097848441163865,1289,481,645,693.2857142857143,57068,2268,54800,120,17.4,6.896551724137932,164
영등포구,비활성,49620,48686,934,0.2148469809760132,0.0039309993777057,5195,665,859,618.2767295597484,87227,3677,83550,190,24.57,7.733007733007732,194
용산구,비활성,15206,14433,773,0.2665830546265329,0.011015443362316,3826,254,314,325.7032967032967,20475,1186,19289,97,21.87,4.435299497027892,60
은평구,비활성,20081,21524,1443,0.1374643874643874,0.0080125948654782,2123,212,355,424.5408163265306,20977,1358,19619,115,29.69,3.8733580330077455,143
종로구,비활성,17753,16847,906,0.4462669683257919,0.0200307536621685,7101,436,416,339.2156862745098,26819,1770,25049,118,23.91,4.93517356754496,20
중구,비활성,13264,10988,2276,0.5545952175165658,0.0295696487772423,7700,410,372,269.46666666666664,22006,1169,20837,107,9.96,10.7429718875502,38
중랑구,비활성,27222,28026,804,0.0721494817239498,0.0022952191999959,1058,379,499,587.7446808510638,24154,1990,22164,106,18.5,5.72972972972973,120
