자치구,시간_구분,대여_건수,반납_건수,|대여-반납|,빈대여소의비율,std,빈대여소시간,유출량,유입량,회전율,최대이용량,최소이용량,최대최소_편차,대여소_개수,면적,밀도(개/km²),이동량
강남구,중간,144556,145245,689,0.2077929338103756,0.0289667107842451,11151,2611,2561,1628.0955056179776,35009,1935,33074,189,39.51,4.783599088838269,50
강동구,중간,205115,203305,1810,0.0852337190832766,0.0096744752933537,3005,2553,2178,3490.769230769231,40674,2346,38328,137,24.58,5.573637103336046,375
강북구,중간,58020,57519,501,0.1076388888888889,0.0106230305804964,2015,1319,1164,1925.65,10667,1473,9194,69,23.61,2.922490470139772,155
강서구,중간,517461,516849,612,0.088444669365722,0.0209784405072866,5243,2197,1870,5415.235602094241,117428,4750,112678,217,41.43,5.237750422399228,327
관악구,중간,94705,91414,3291,0.1376887952230417,0.0140520721853863,3136,1637,1180,2448.934210526316,18205,2032,16173,95,29.57,3.2127155901251268,457
광진구,중간,215483,209348,6135,0.1748532591906086,0.0414052610459726,4528,3307,2726,5118.44578313253,43960,2672,41288,108,17.06,6.330597889800704,581
구로구,중간,172742,176133,3391,0.0639901034637876,0.0128030129786042,2271,3295,3293,3033.695652173913,43786,2422,41364,124,20.12,6.163021868787276,2
금천구,중간,66662,70233,3571,0.0891811041811041,0.0149418183090477,2004,858,972,1825.2666666666669,20862,719,20143,79,13.0,6.076923076923077,114
노원구,중간,288128,288057,71,0.1286998795388057,0.0133646848515149,5983,3132,2876,3815.794701986755,51828,3439,48389,170,35.44,4.796839729119639,256
도봉구,중간,101826,100883,943,0.0897864672364672,0.0153050020773979,2060,2215,1955,2702.786666666667,20121,1593,18528,95,20.7,4.5893719806763285,260
동대문구,중간,146237,143036,3201,0.0760631644777986,0.0097813074924804,1946,3783,3261,3527.7195121951218,28576,2312,26264,104,14.2,7.323943661971831,522
동작구,중간,86821,82671,4150,0.1207371794871794,0.0259913846748282,2706,2607,2230,2290.4324324324325,16527,1542,14985,83,16.35,5.076452599388379,377
마포구,중간,209365,214450,5085,0.1786858974358974,0.0284843602720647,6690,3401,3796,3561.470588235294,48771,2132,46639,142,23.88,5.9463986599665,395
서대문구,중간,83261,75666,7595,0.2353592909148464,0.0295940880139678,5948,2912,2162,1962.0617283950617,16742,1219,15523,94,17.6,5.340909090909091,750
서초구,중간,129667,131923,2256,0.1316811123149151,0.0153969711859319,5834,2180,2259,1779.5238095238096,32553,1220,31333,169,47.0,3.595744680851064,79
성동구,중간,167907,177604,9697,0.1708606110201855,0.039717385241066,5011,4157,4523,3675.648936170213,40147,1866,38281,109,16.85,6.4688427299703255,366
성북구,중간,100505,96517,3988,0.1484251345362456,0.0251580119051461,3751,2758,2329,2402.7073170731705,18997,1670,17327,99,24.56,4.030944625407166,429
송파구,중간,412524,413228,704,0.1447797958214625,0.0135673219977808,9757,3845,3811,3805.308755760369,92958,4013,88945,244,33.88,7.201889020070838,34
양천구,중간,281806,276129,5677,0.05560691601976,0.0121040890871716,1882,3410,2810,4981.5625,57068,2268,54800,120,17.4,6.896551724137932,600
영등포구,중간,370469,378940,8471,0.1327129859387924,0.04396254798318,6418,4572,4838,4713.264150943396,87227,3677,83550,190,24.57,7.733007733007732,266
용산구,중간,83075,82914,161,0.2417433110367892,0.0236511556593751,6939,1737,1632,1824.0549450549447,20475,1186,19289,97,21.87,4.435299497027892,105
은평구,중간,113012,112535,477,0.1575692825692825,0.0158758463410606,4867,1394,1124,2301.5,20977,1358,19619,115,29.69,3.8733580330077455,270
종로구,중간,131582,135011,3429,0.3133798391151332,0.0850510021211611,9973,2842,2928,2613.656862745098,26819,1770,25049,118,23.91,4.93517356754496,86
중구,중간,93093,96362,3269,0.350187265917603,0.1154587259533642,9724,2751,2887,2105.055555555556,22006,1169,20837,107,9.96,10.7429718875502,136
중랑구,중간,127871,125921,1950,0.0830605564648117,0.0111304995979831,2436,1858,1549,2699.9148936170213,24154,1990,22164,106,18.5,5.72972972972973,309
