자치구,시간_구분,대여_건수,반납_건수,|대여-반납|
강남구,비활성,24654,23648,1006
강동구,비활성,33550,34465,915
강북구,비활성,15216,14907,309
강서구,비활성,68793,69028,235
관악구,비활성,24605,24254,351
광진구,비활성,41546,39319,2227
구로구,비활성,27885,29049,1164
금천구,비활성,9418,10418,1000
노원구,비활성,49490,48514,976
도봉구,비활성,18979,20405,1426
동대문구,비활성,28027,32119,4092
동작구,비활성,18573,19911,1338
마포구,비활성,34065,30159,3906
서대문구,비활성,14652,15782,1130
서초구,비활성,19684,18823,861
성동구,비활성,25364,24541,823
성북구,비활성,20841,22320,1479
송파구,비활성,62134,61532,602
양천구,비활성,38362,39286,924
영등포구,비활성,49620,48686,934
용산구,비활성,15206,14433,773
은평구,비활성,20081,21524,1443
종로구,비활성,17753,16847,906
중구,비활성,13264,10988,2276
중랑구,비활성,27222,28026,804
