자치구,시간_구분,대여_건수,반납_건수,|대여-반납|
강남구,중간,144556,145245,689
강동구,중간,205115,203305,1810
강북구,중간,58020,57519,501
강서구,중간,517461,516849,612
관악구,중간,94705,91414,3291
광진구,중간,215483,209348,6135
구로구,중간,172742,176133,3391
금천구,중간,66662,70233,3571
노원구,중간,288128,288057,71
도봉구,중간,101826,100883,943
동대문구,중간,146237,143036,3201
동작구,중간,86821,82671,4150
마포구,중간,209365,214450,5085
서대문구,중간,83261,75666,7595
서초구,중간,129667,131923,2256
성동구,중간,167907,177604,9697
성북구,중간,100505,96517,3988
송파구,중간,412524,413228,704
양천구,중간,281806,276129,5677
영등포구,중간,370469,378940,8471
용산구,중간,83075,82914,161
은평구,중간,113012,112535,477
종로구,중간,131582,135011,3429
중구,중간,93093,96362,3269
중랑구,중간,127871,125921,1950
