자치구,시간_구분,대여_건수,반납_건수,|대여-반납|
강남구,활성,152997,139834,13163
강동구,활성,182775,189338,6563
강북구,활성,51588,51014,574
강서구,활성,523925,526801,2876
관악구,활성,82468,84885,2417
광진구,활성,196505,203113,6608
구로구,활성,186699,183162,3537
금천구,활성,87345,83160,4185
노원구,활성,248086,251458,3372
도봉구,활성,92003,92949,946
동대문구,활성,130359,138073,7714
동작구,활성,75814,80802,4988
마포구,활성,209373,209517,144
서대문구,활성,76544,76925,381
서초구,활성,138649,137057,1592
성동구,활성,179096,170914,8182
성북구,활성,85966,90069,4103
송파구,활성,408306,413047,4741
양천구,활성,253174,263829,10655
영등포구,활성,387592,374806,12786
용산구,활성,88240,88477,237
은평구,활성,96808,102330,5522
종로구,활성,124765,112340,12425
중구,활성,94846,83600,11246
중랑구,활성,114008,120431,6423
