자치구,시간_구분,유출량,유입량,총 유출량,총 유입량,유출 비율(%),유입 비율(%)
강남구,비활성,411,443,5793,5166,7.1,8.6
강동구,비활성,351,482,4719,4640,7.4,10.4
강북구,비활성,349,387,2583,2465,13.5,15.7
강서구,비활성,344,467,4323,4201,8,11.1
관악구,비활성,356,432,3140,2784,11.3,15.5
광진구,비활성,572,613,6670,6165,8.6,9.9
구로구,비활성,489,638,6755,6839,7.2,9.3
금천구,비활성,132,208,1979,2091,6.7,9.9
노원구,비활성,675,697,6168,5928,10.9,11.8
도봉구,비활성,385,572,4208,4153,9.1,13.8
동대문구,비활성,637,1062,7184,7263,8.9,14.6
동작구,비활성,444,691,5006,4972,8.9,13.9
마포구,비활성,628,572,7307,7618,8.6,7.5
서대문구,비활성,409,537,5363,4582,7.6,11.7
서초구,비활성,335,372,4587,4753,7.3,7.8
성동구,비활성,722,843,8929,9385,8.1,9
성북구,비활성,569,752,5247,5048,10.8,14.9
송파구,비활성,541,662,7723,7979,7,8.3
양천구,비활성,481,645,6337,6103,7.6,10.6
영등포구,비활성,665,859,10021,10135,6.6,8.5
용산구,비활성,254,314,3728,3709,6.8,8.5
은평구,비활성,212,355,2641,2604,8,13.6
종로구,비활성,436,416,5818,5498,7.5,7.6
중구,비활성,410,372,5606,5351,7.3,7
중랑구,비활성,379,499,3590,3599,10.6,13.9
