자치구,시간_구분,유출량,유입량,총 유출량,총 유입량,유출 비율(%),유입 비율(%)
강남구,활성,2771,2162,5793,5166,47.8,41.9
강동구,활성,1815,1980,4719,4640,38.5,42.7
강북구,활성,915,914,2583,2465,35.4,37.1
강서구,활성,1782,1864,4323,4201,41.2,44.4
관악구,활성,1147,1172,3140,2784,36.5,42.1
광진구,활성,2791,2826,6670,6165,41.8,45.8
구로구,활성,2971,2908,6755,6839,44,42.5
금천구,활성,989,911,1979,2091,50,43.6
노원구,활성,2361,2355,6168,5928,38.3,39.7
도봉구,활성,1608,1626,4208,4153,38.2,39.2
동대문구,활성,2764,2940,7184,7263,38.5,40.5
동작구,활성,1955,2051,5006,4972,39.1,41.3
마포구,활성,3278,3250,7307,7618,44.9,42.7
서대문구,활성,2042,1883,5363,4582,38.1,41.1
서초구,활성,2072,2122,4587,4753,45.2,44.6
성동구,활성,4050,4019,8929,9385,45.4,42.8
성북구,활성,1920,1967,5247,5048,36.6,39
송파구,활성,3337,3506,7723,7979,43.2,43.9
양천구,활성,2446,2648,6337,6103,38.6,43.4
영등포구,활성,4784,4438,10021,10135,47.7,43.8
용산구,활성,1737,1763,3728,3709,46.6,47.5
은평구,활성,1035,1125,2641,2604,39.2,43.2
종로구,활성,2540,2154,5818,5498,43.7,39.2
중구,활성,2445,2092,5606,5351,43.6,39.1
중랑구,활성,1353,1551,3590,3599,37.7,43.1
