자치구,시간_구분,회전율
강남구,비활성,271.35955056179773
강동구,비활성,581.3247863247864
강북구,비활성,502.05
강서구,비활성,721.5759162303665
관악구,비활성,642.8815789473684
광진구,비활성,974.277108433735
구로구,비활성,495.0782608695652
금천구,비활성,264.48
노원구,비활성,649.0331125827814
도봉구,비활성,525.12
동대문구,비활성,733.4878048780488
동작구,비활성,520.0540540540541
마포구,비활성,539.6974789915967
서대문구,비활성,375.7283950617284
서초구,비활성,261.95238095238096
성동구,비활성,530.9042553191489
성북구,비활성,526.3536585365854
송파구,비활성,569.889400921659
양천구,비활성,693.2857142857143
영등포구,비활성,618.2767295597484
용산구,비활성,325.7032967032967
은평구,비활성,424.5408163265306
종로구,비활성,339.2156862745098
중구,비활성,269.46666666666664
중랑구,비활성,587.7446808510638
