자치구,시간_구분,회전율
강남구,중간,1628.0955056179776
강동구,중간,3490.769230769231
강북구,중간,1925.65
강서구,중간,5415.235602094241
관악구,중간,2448.934210526316
광진구,중간,5118.44578313253
구로구,중간,3033.695652173913
금천구,중간,1825.2666666666667
노원구,중간,3815.794701986755
도봉구,중간,2702.786666666667
동대문구,중간,3527.7195121951218
동작구,중간,2290.4324324324325
마포구,중간,3561.470588235294
서대문구,중간,1962.0617283950617
서초구,중간,1779.5238095238096
성동구,중간,3675.648936170213
성북구,중간,2402.7073170731705
송파구,중간,3805.3087557603685
양천구,중간,4981.5625
영등포구,중간,4713.264150943396
용산구,중간,1824.0549450549452
은평구,중간,2301.5
종로구,중간,2613.656862745098
중구,중간,2105.0555555555557
중랑구,중간,2699.9148936170213
