,자치구,최대이용량,최소이용량,최대최소_편차
0,강남구,35009,1935,33074
1,강동구,40674,2346,38328
2,강북구,10667,1473,9194
3,강서구,117428,4750,112678
4,관악구,18205,2032,16173
5,광진구,43960,2672,41288
6,구로구,43786,2422,41364
7,금천구,20862,719,20143
8,노원구,51828,3439,48389
9,도봉구,20121,1593,18528
10,동대문구,28576,2312,26264
11,동작구,16527,1542,14985
12,마포구,48771,2132,46639
13,서대문구,16742,1219,15523
14,서초구,32553,1220,31333
15,성동구,40147,1866,38281
16,성북구,18997,1670,17327
17,송파구,92958,4013,88945
18,양천구,57068,2268,54800
19,영등포구,87227,3677,83550
20,용산구,20475,1186,19289
21,은평구,20977,1358,19619
22,종로구,26819,1770,25049
23,중구,22006,1169,20837
24,중랑구,24154,1990,22164
