자치구,대여소_개수,면적,밀도(개/km²)
중구,107,9.96,10.7429718875502
영등포구,190,24.57,7.7330077330077325
동대문구,104,14.2,7.323943661971831
송파구,244,33.88,7.201889020070838
양천구,120,17.4,6.8965517241379315
성동구,109,16.85,6.4688427299703255
광진구,108,17.06,6.330597889800704
구로구,124,20.12,6.163021868787276
금천구,79,13.0,6.076923076923077
마포구,142,23.88,5.9463986599664995
중랑구,106,18.5,5.72972972972973
강동구,137,24.58,5.573637103336046
서대문구,94,17.6,5.340909090909091
강서구,217,41.43,5.237750422399228
동작구,83,16.35,5.076452599388379
종로구,118,23.91,4.93517356754496
노원구,170,35.44,4.796839729119639
강남구,189,39.51,4.783599088838269
도봉구,95,20.7,4.5893719806763285
용산구,97,21.87,4.435299497027892
성북구,99,24.56,4.030944625407166
은평구,115,29.69,3.8733580330077464
서초구,169,47.0,3.595744680851064
관악구,95,29.57,3.2127155901251268
강북구,69,23.61,2.9224904701397714
