대여소_ID,주간,시간대,대여건수,반납건수,총이용건수,잔여자전거수,동일대여소대여반납,중구내대여반납,유출량,유입량
ST-116,주말,0,1,2,3,5,0,0,1,2
ST-116,주말,1,1,1,2,8,0,0,1,1
ST-116,주말,2,4,2,6,6,0,1,3,0
ST-116,주말,3,0,0,0,5,0,0,0,0
ST-116,주말,4,0,0,0,5,0,0,0,0
ST-116,주말,5,0,1,1,0,0,0,0,1
ST-116,주말,6,0,0,0,6,0,0,0,0
ST-116,주말,7,4,4,8,6,0,2,2,10
ST-116,주말,8,6,14,20,6,0,3,3,5
ST-116,주말,9,8,12,20,11,0,4,4,6
ST-116,주말,10,11,12,23,17,1,4,6,2
ST-116,주말,11,11,5,16,16,0,2,9,6
ST-116,주말,12,12,17,29,11,0,4,8,16
ST-116,주말,13,18,25,43,22,0,3,15,11
ST-116,주말,14,15,14,29,28,0,9,6,6
ST-116,주말,15,22,20,42,21,0,11,11,17
ST-116,주말,16,25,24,49,20,1,3,21,14
ST-116,주말,17,22,13,35,26,0,7,15,11
ST-116,주말,18,22,21,43,13,3,7,12,6
ST-116,주말,19,11,13,24,8,1,5,5,10
ST-116,주말,20,11,11,22,12,0,2,9,8
ST-116,주말,21,8,9,17,9,0,3,5,4
ST-116,주말,22,5,3,8,10,0,1,4,2
ST-116,주말,23,3,2,5,7,1,0,2,0
ST-116,평일,0,3,1,4,5,0,0,3,1
ST-116,평일,1,3,2,5,4,0,0,3,1
ST-116,평일,2,0,1,1,2,0,0,0,1
ST-116,평일,3,1,0,1,3,0,0,1,0
ST-116,평일,4,1,0,1,1,0,0,1,8
ST-116,평일,5,0,9,9,0,0,0,0,0
ST-116,평일,6,9,4,13,10,0,6,3,7
ST-116,평일,7,62,110,172,6,0,38,24,85
ST-116,평일,8,160,176,336,47,0,103,57,106
ST-116,평일,9,66,57,123,52,0,47,19,25
ST-116,평일,10,45,47,92,36,7,22,16,25
ST-116,평일,11,57,51,108,47,3,28,26,23
ST-116,평일,12,37,31,68,31,4,21,12,23
ST-116,평일,13,47,52,99,31,3,18,26,26
ST-116,평일,14,31,56,87,37,2,16,13,35
ST-116,평일,15,62,43,105,54,5,20,37,17
ST-116,평일,16,46,33,79,33,5,18,23,20
ST-116,평일,17,62,44,106,18,5,29,28,19
ST-116,평일,18,72,90,162,2,0,18,54,32
ST-116,평일,19,49,42,91,15,0,16,33,30
ST-116,평일,20,37,30,67,15,1,5,31,10
ST-116,평일,21,20,18,38,9,1,6,13,11
ST-116,평일,22,11,11,22,5,0,4,7,5
ST-116,평일,23,3,4,7,3,0,2,1,0
ST-126,주말,0,4,1,5,6,0,2,2,5
ST-126,주말,1,5,5,10,4,0,2,3,0
ST-126,주말,2,0,0,0,4,0,0,0,1
ST-126,주말,3,1,1,2,4,0,1,0,0
ST-126,주말,4,0,0,0,4,0,0,0,0
ST-126,주말,5,0,4,4,0,0,0,0,4
ST-126,주말,6,0,2,2,7,0,0,0,2
ST-126,주말,7,3,3,6,9,0,1,2,8
ST-126,주말,8,7,8,15,8,0,1,6,6
ST-126,주말,9,6,8,14,10,0,0,6,3
ST-126,주말,10,8,13,21,13,1,1,6,14
ST-126,주말,11,13,11,24,17,0,2,11,4
ST-126,주말,12,21,11,32,9,0,6,15,7
ST-126,주말,13,10,12,22,5,1,4,5,10
ST-126,주말,14,14,15,29,7,0,4,10,5
ST-126,주말,15,16,20,36,14,1,6,9,13
ST-126,주말,16,18,25,43,17,1,7,10,13
ST-126,주말,17,24,18,42,17,0,14,10,12
ST-126,주말,18,27,23,50,15,0,6,21,7
ST-126,주말,19,21,17,38,11,2,5,14,9
ST-126,주말,20,16,11,27,11,0,5,11,3
ST-126,주말,21,7,10,17,6,0,3,4,4
ST-126,주말,22,4,10,14,8,0,0,4,7
ST-126,주말,23,7,4,11,10,0,3,4,2
ST-126,평일,0,7,2,9,4,1,2,4,2
ST-126,평일,1,1,1,2,1,0,0,1,0
ST-126,평일,2,0,0,0,1,0,0,0,1
ST-126,평일,3,0,2,2,1,0,0,0,1
ST-126,평일,4,0,0,0,3,0,0,0,1
ST-126,평일,5,2,4,6,0,0,1,1,5
ST-126,평일,6,26,33,59,6,1,15,10,22
ST-126,평일,7,48,81,129,14,1,12,35,68
ST-126,평일,8,117,139,256,47,0,37,80,75
ST-126,평일,9,84,115,199,67,0,15,69,59
ST-126,평일,10,43,47,90,90,1,21,21,23
ST-126,평일,11,102,79,181,108,23,41,38,43
ST-126,평일,12,81,74,155,80,11,23,47,24
ST-126,평일,13,56,82,138,67,7,18,31,35
ST-126,평일,14,61,54,115,165,8,21,32,25
ST-126,평일,15,62,49,111,261,1,24,37,26
ST-126,평일,16,106,52,158,259,2,36,68,30
ST-126,평일,17,143,103,246,148,1,47,95,49
ST-126,평일,18,218,96,314,134,1,71,146,49
ST-126,평일,19,53,39,92,31,0,13,40,20
ST-126,평일,20,33,30,63,16,1,13,19,32
ST-126,평일,21,48,45,93,10,2,10,36,20
ST-126,평일,22,21,17,38,2,0,7,14,6
ST-126,평일,23,4,11,15,5,0,2,2,3
ST-134,주말,0,4,0,4,4,0,1,3,1
ST-134,주말,1,1,1,2,2,0,0,1,0
ST-134,주말,2,0,0,0,1,0,0,0,0
ST-134,주말,3,0,0,0,1,0,0,0,0
ST-134,주말,4,0,0,0,1,0,0,0,0
ST-134,주말,5,0,1,1,0,0,0,0,1
ST-134,주말,6,1,5,6,2,0,0,1,5
ST-134,주말,7,2,3,5,6,0,1,1,4
ST-134,주말,8,2,2,4,7,0,0,2,2
ST-134,주말,9,5,8,13,7,1,0,4,4
ST-134,주말,10,7,5,12,10,0,3,4,6
ST-134,주말,11,6,5,11,8,0,2,4,4
ST-134,주말,12,10,10,20,11,0,8,2,6
ST-134,주말,13,10,17,27,9,0,7,3,15
ST-134,주말,14,12,17,29,18,0,9,3,9
ST-134,주말,15,26,15,41,25,1,15,10,6
ST-134,주말,16,16,18,34,6,2,7,7,13
ST-134,주말,17,29,26,55,13,3,13,13,19
ST-134,주말,18,27,26,53,6,0,12,15,17
ST-134,주말,19,8,7,15,5,1,1,6,4
ST-134,주말,20,4,6,10,5,0,0,4,6
ST-134,주말,21,14,8,22,8,0,3,11,5
ST-134,주말,22,3,7,10,3,0,1,2,4
ST-134,주말,23,8,8,16,5,0,1,7,4
ST-134,평일,0,3,3,6,0,0,3,0,2
ST-134,평일,1,6,4,10,0,0,2,4,2
ST-134,평일,2,4,6,10,1,0,0,4,2
ST-134,평일,3,2,1,3,3,0,1,1,0
ST-134,평일,4,1,0,1,3,0,0,1,0
ST-134,평일,5,1,0,1,0,0,0,1,24
ST-134,평일,6,18,30,48,2,0,2,16,24
ST-134,평일,7,44,108,152,13,1,7,36,116
ST-134,평일,8,68,256,324,78,2,17,49,105
ST-134,평일,9,55,70,125,275,2,20,33,46
ST-134,평일,10,33,34,67,299,0,17,16,23
ST-134,평일,11,125,62,187,354,38,26,61,31
ST-134,평일,12,65,83,148,251,6,31,28,25
ST-134,평일,13,66,57,123,266,7,29,30,22
ST-134,평일,14,75,57,132,256,8,24,43,27
ST-134,평일,15,58,44,102,226,9,22,27,23
ST-134,평일,16,79,64,143,216,3,26,50,37
ST-134,평일,17,148,64,212,183,2,36,110,44
ST-134,평일,18,217,116,333,80,7,75,135,69
ST-134,평일,19,68,59,127,18,1,22,45,27
ST-134,평일,20,39,25,64,14,2,19,18,13
ST-134,평일,21,21,16,37,4,2,4,15,11
ST-134,평일,22,7,9,16,1,0,2,5,0
ST-134,평일,23,5,2,7,4,0,3,2,0
ST-136,주말,0,1,0,1,3,0,0,1,0
ST-136,주말,1,2,4,6,2,0,0,2,1
ST-136,주말,2,1,0,1,3,0,0,1,0
ST-136,주말,3,0,0,0,3,0,0,0,0
ST-136,주말,4,0,0,0,3,0,0,0,0
ST-136,주말,5,0,0,0,0,0,0,0,0
ST-136,주말,6,0,1,1,3,0,0,0,4
ST-136,주말,7,1,6,7,4,0,1,0,7
ST-136,주말,8,5,11,16,8,2,0,3,11
ST-136,주말,9,6,13,19,14,2,2,2,5
ST-136,주말,10,12,5,17,25,3,3,6,4
ST-136,주말,11,12,14,26,16,2,2,8,10
ST-136,주말,12,16,21,37,17,2,2,12,11
ST-136,주말,13,25,28,53,26,3,4,18,31
ST-136,주말,14,24,33,57,33,2,7,15,19
ST-136,주말,15,19,27,46,40,0,2,17,16
ST-136,주말,16,49,46,95,43,4,14,31,29
ST-136,주말,17,40,28,68,41,2,12,26,19
ST-136,주말,18,24,23,47,25,1,10,13,12
ST-136,주말,19,32,18,50,22,0,15,17,5
ST-136,주말,20,13,9,22,11,0,6,7,4
ST-136,주말,21,7,7,14,8,0,2,5,5
ST-136,주말,22,3,1,4,8,0,1,2,0
ST-136,주말,23,1,0,1,5,0,0,1,0
ST-136,평일,0,3,0,3,4,0,1,2,0
ST-136,평일,1,0,2,2,3,0,0,0,0
ST-136,평일,2,3,0,3,4,0,1,2,0
ST-136,평일,3,0,0,0,2,0,0,0,0
ST-136,평일,4,0,0,0,2,0,0,0,2
ST-136,평일,5,1,3,4,0,0,0,1,2
ST-136,평일,6,7,18,25,4,0,3,4,43
ST-136,평일,7,21,121,142,15,1,3,17,93
ST-136,평일,8,96,207,303,113,3,20,73,151
ST-136,평일,9,79,107,186,222,7,20,52,70
ST-136,평일,10,78,64,142,240,13,35,30,29
ST-136,평일,11,125,106,231,288,29,45,51,41
ST-136,평일,12,104,95,199,245,19,47,38,35
ST-136,평일,13,96,86,182,223,15,41,40,42
ST-136,평일,14,77,84,161,213,12,25,40,43
ST-136,평일,15,109,91,200,223,26,31,52,52
ST-136,평일,16,81,104,185,206,16,27,38,47
ST-136,평일,17,197,105,302,208,4,62,131,65
ST-136,평일,18,212,127,339,110,9,45,158,72
ST-136,평일,19,70,48,118,44,2,26,42,22
ST-136,평일,20,37,24,61,24,1,11,25,6
ST-136,평일,21,27,14,41,10,0,10,17,7
ST-136,평일,22,7,6,13,2,0,1,6,3
ST-136,평일,23,4,5,9,1,0,2,2,1
ST-137,주말,0,4,1,5,6,0,1,3,1
ST-137,주말,1,4,2,6,7,0,1,3,0
ST-137,주말,2,2,0,2,5,0,0,2,0
ST-137,주말,3,0,1,1,5,0,0,0,0
ST-137,주말,4,0,0,0,4,0,0,0,0
ST-137,주말,5,0,2,2,0,0,0,0,0
ST-137,주말,6,2,1,3,6,0,1,1,0
ST-137,주말,7,0,4,4,5,0,0,0,7
ST-137,주말,8,2,7,9,8,0,0,2,3
ST-137,주말,9,6,14,20,20,1,1,4,10
ST-137,주말,10,9,12,21,32,0,1,8,13
ST-137,주말,11,7,9,16,30,1,4,2,6
ST-137,주말,12,10,18,28,32,1,4,5,7
ST-137,주말,13,17,10,27,42,1,12,4,5
ST-137,주말,14,14,11,25,39,0,5,9,8
ST-137,주말,15,20,8,28,34,0,4,16,4
ST-137,주말,16,13,20,33,22,0,3,10,22
ST-137,주말,17,29,17,46,24,0,11,18,8
ST-137,주말,18,21,26,47,17,0,6,15,19
ST-137,주말,19,19,17,36,19,1,2,16,5
ST-137,주말,20,12,8,20,17,0,3,9,4
ST-137,주말,21,19,7,26,12,0,6,13,5
ST-137,주말,22,6,8,14,4,0,3,3,2
ST-137,주말,23,2,5,7,2,0,0,2,1
ST-137,평일,0,2,1,3,2,0,0,2,1
ST-137,평일,1,1,3,4,2,0,0,1,4
ST-137,평일,2,5,2,7,2,0,3,2,4
ST-137,평일,3,5,5,10,1,0,0,5,0
ST-137,평일,4,0,0,0,1,0,0,0,3
ST-137,평일,5,12,29,41,0,0,9,3,25
ST-137,평일,6,8,21,29,18,0,6,2,21
ST-137,평일,7,14,45,59,31,2,8,4,36
ST-137,평일,8,66,130,196,67,3,39,24,55
ST-137,평일,9,47,73,120,134,13,26,8,18
ST-137,평일,10,45,80,125,148,11,23,11,38
ST-137,평일,11,78,75,153,203,17,36,25,37
ST-137,평일,12,80,85,165,214,9,29,42,22
ST-137,평일,13,94,55,149,185,22,35,37,20
ST-137,평일,14,80,73,153,152,15,26,39,34
ST-137,평일,15,69,106,175,143,14,23,32,37
ST-137,평일,16,58,68,126,191,9,14,35,37
ST-137,평일,17,118,65,183,170,5,42,71,31
ST-137,평일,18,174,72,246,119,2,69,103,38
ST-137,평일,19,68,42,110,29,4,24,40,10
ST-137,평일,20,21,17,38,4,3,5,13,17
ST-137,평일,21,23,23,46,6,1,5,17,17
ST-137,평일,22,19,19,38,5,1,13,5,5
ST-137,평일,23,3,14,17,4,0,2,1,0
ST-138,주말,0,1,2,3,6,0,1,0,0
ST-138,주말,1,3,0,3,7,0,2,1,0
ST-138,주말,2,0,0,0,5,0,0,0,0
ST-138,주말,3,0,0,0,5,0,0,0,0
ST-138,주말,4,0,0,0,5,0,0,0,1
ST-138,주말,5,0,1,1,0,0,0,0,0
ST-138,주말,6,2,3,5,6,1,0,1,1
ST-138,주말,7,2,7,9,7,0,0,2,7
ST-138,주말,8,4,9,13,11,0,2,2,6
ST-138,주말,9,5,12,17,17,0,0,5,10
ST-138,주말,10,8,7,15,24,1,4,3,8
ST-138,주말,11,9,18,27,25,1,5,3,1
ST-138,주말,12,10,5,15,28,0,6,4,2
ST-138,주말,13,20,10,30,24,3,5,12,10
ST-138,주말,14,20,15,35,16,0,4,16,7
ST-138,주말,15,11,21,32,11,0,4,7,13
ST-138,주말,16,25,17,42,21,0,7,18,11
ST-138,주말,17,15,15,30,12,0,7,8,12
ST-138,주말,18,22,20,42,14,1,11,10,10
ST-138,주말,19,6,6,12,11,1,2,3,0
ST-138,주말,20,5,3,8,7,0,2,3,1
ST-138,주말,21,4,4,8,7,0,1,3,2
ST-138,주말,22,3,4,7,7,0,1,2,0
ST-138,주말,23,2,4,6,10,0,1,1,0
ST-138,평일,0,1,2,3,3,0,0,1,1
ST-138,평일,1,3,2,5,6,0,2,1,0
ST-138,평일,2,1,0,1,3,0,0,1,0
ST-138,평일,3,0,0,0,3,0,0,0,0
ST-138,평일,4,0,0,0,3,0,0,0,0
ST-138,평일,5,1,15,16,0,0,0,1,5
ST-138,평일,6,20,36,56,17,0,8,12,22
ST-138,평일,7,34,32,66,34,0,24,10,14
ST-138,평일,8,49,37,86,30,0,37,12,7
ST-138,평일,9,15,38,53,17,1,11,3,24
ST-138,평일,10,31,40,71,40,1,17,13,13
ST-138,평일,11,30,33,63,56,1,21,8,13
ST-138,평일,12,35,39,74,64,7,19,9,11
ST-138,평일,13,31,28,59,62,1,21,9,7
ST-138,평일,14,45,39,84,60,3,27,15,12
ST-138,평일,15,24,39,63,48,10,7,7,13
ST-138,평일,16,43,41,84,63,1,24,18,26
ST-138,평일,17,75,48,123,50,5,23,47,17
ST-138,평일,18,78,59,137,14,0,31,47,35
ST-138,평일,19,38,39,77,16,1,10,27,15
ST-138,평일,20,28,21,49,11,0,14,14,6
ST-138,평일,21,16,11,27,9,0,6,10,3
ST-138,평일,22,6,2,8,6,0,4,2,1
ST-138,평일,23,1,0,1,0,0,1,0,0
ST-140,주말,0,6,1,7,10,0,3,3,0
ST-140,주말,1,0,0,0,6,0,0,0,1
ST-140,주말,2,1,1,2,6,0,1,0,0
ST-140,주말,3,0,0,0,6,0,0,0,0
ST-140,주말,4,0,0,0,6,0,0,0,0
ST-140,주말,5,0,0,0,0,0,0,0,0
ST-140,주말,6,0,0,0,6,0,0,0,1
ST-140,주말,7,1,1,2,6,0,1,0,2
ST-140,주말,8,3,2,5,6,0,0,3,3
ST-140,주말,9,2,12,14,5,1,1,0,4
ST-140,주말,10,6,15,21,15,0,4,2,6
ST-140,주말,11,11,13,24,17,1,3,7,9
ST-140,주말,12,17,12,29,15,0,7,10,3
ST-140,주말,13,12,11,23,20,0,5,7,11
ST-140,주말,14,10,12,22,22,3,6,1,9
ST-140,주말,15,16,31,47,22,0,6,10,23
ST-140,주말,16,14,27,41,40,2,6,6,12
ST-140,주말,17,29,24,53,47,2,13,14,13
ST-140,주말,18,26,21,47,41,1,10,15,8
ST-140,주말,19,19,16,35,37,0,8,11,5
ST-140,주말,20,12,2,14,30,1,3,8,0
ST-140,주말,21,5,5,10,23,0,3,2,3
ST-140,주말,22,4,2,6,24,0,3,1,4
ST-140,주말,23,3,5,8,23,0,1,2,0
ST-140,평일,0,3,4,7,12,0,1,2,1
ST-140,평일,1,2,0,2,12,0,2,0,1
ST-140,평일,2,0,0,0,11,0,0,0,0
ST-140,평일,3,2,1,3,10,0,0,2,2
ST-140,평일,4,4,2,6,10,0,0,4,0
ST-140,평일,5,0,3,3,0,0,0,0,1
ST-140,평일,6,1,7,8,11,0,0,1,9
ST-140,평일,7,16,31,47,17,0,10,6,44
ST-140,평일,8,40,147,187,32,0,13,27,18
ST-140,평일,9,27,30,57,139,0,19,8,9
ST-140,평일,10,16,38,54,143,2,11,3,11
ST-140,평일,11,44,61,105,163,4,29,11,22
ST-140,평일,12,62,51,113,196,3,33,26,14
ST-140,평일,13,56,39,95,163,5,22,29,24
ST-140,평일,14,38,32,70,153,3,21,14,18
ST-140,평일,15,42,52,94,146,3,23,16,25
ST-140,평일,16,60,72,132,155,2,21,37,31
ST-140,평일,17,101,59,160,162,3,56,42,25
ST-140,평일,18,167,76,243,100,5,84,78,22
ST-140,평일,19,50,30,80,32,1,21,28,11
ST-140,평일,20,31,17,48,20,1,9,21,4
ST-140,평일,21,7,11,18,9,0,4,3,3
ST-140,평일,22,8,4,12,11,1,5,2,0
ST-140,평일,23,0,3,3,6,0,0,0,0
ST-1435,주말,0,13,7,20,13,0,7,6,4
ST-1435,주말,1,7,3,10,9,0,4,3,4
ST-1435,주말,2,4,3,7,11,0,0,4,1
ST-1435,주말,3,1,2,3,8,0,0,1,2
ST-1435,주말,4,3,1,4,7,0,1,2,0
ST-1435,주말,5,1,1,2,0,0,0,1,1
ST-1435,주말,6,1,2,3,7,0,0,1,2
ST-1435,주말,7,0,2,2,8,0,0,0,4
ST-1435,주말,8,5,6,11,9,1,3,1,3
ST-1435,주말,9,4,9,13,10,0,2,2,10
ST-1435,주말,10,9,6,15,16,0,3,6,4
ST-1435,주말,11,5,7,12,11,0,3,2,6
ST-1435,주말,12,13,16,29,14,1,5,7,9
ST-1435,주말,13,16,19,35,20,0,8,8,10
ST-1435,주말,14,27,29,56,14,0,10,17,17
ST-1435,주말,15,30,28,58,21,0,12,18,19
ST-1435,주말,16,33,64,97,25,0,18,15,38
ST-1435,주말,17,59,72,131,40,1,22,36,49
ST-1435,주말,18,74,79,153,60,3,34,37,44
ST-1435,주말,19,66,37,103,57,2,13,51,11
ST-1435,주말,20,27,21,48,27,0,10,17,10
ST-1435,주말,21,25,22,47,21,1,4,20,15
ST-1435,주말,22,19,19,38,23,1,4,14,6
ST-1435,주말,23,8,7,15,22,0,4,4,1
ST-1435,평일,0,12,7,19,5,0,1,11,7
ST-1435,평일,1,8,6,14,4,0,6,2,1
ST-1435,평일,2,3,3,6,2,0,0,3,0
ST-1435,평일,3,2,1,3,2,0,1,1,1
ST-1435,평일,4,0,5,5,1,0,0,0,1
ST-1435,평일,5,2,1,3,0,1,1,0,19
ST-1435,평일,6,11,23,34,6,0,8,3,5
ST-1435,평일,7,39,44,83,17,1,23,15,53
ST-1435,평일,8,105,140,245,20,2,65,38,101
ST-1435,평일,9,73,49,122,43,3,42,28,39
ST-1435,평일,10,39,59,98,23,10,14,15,49
ST-1435,평일,11,79,100,179,45,8,31,40,40
ST-1435,평일,12,66,82,148,63,11,24,31,57
ST-1435,평일,13,99,115,214,68,16,29,54,55
ST-1435,평일,14,94,79,173,81,7,37,50,51
ST-1435,평일,15,94,120,214,89,8,44,42,51
ST-1435,평일,16,100,115,215,108,9,33,58,64
ST-1435,평일,17,199,207,406,115,9,48,142,98
ST-1435,평일,18,266,223,489,105,6,58,202,131
ST-1435,평일,19,143,98,241,59,1,42,100,48
ST-1435,평일,20,95,88,183,37,1,22,72,26
ST-1435,평일,21,57,49,106,25,0,18,39,27
ST-1435,평일,22,36,33,69,15,0,8,28,9
ST-1435,평일,23,20,18,38,11,0,10,10,3
ST-1436,주말,0,4,2,6,69,0,0,4,2
ST-1436,주말,1,7,7,14,69,0,1,6,1
ST-1436,주말,2,4,1,5,62,0,0,4,3
ST-1436,주말,3,1,6,7,59,0,0,1,2
ST-1436,주말,4,0,3,3,63,0,0,0,1
ST-1436,주말,5,1,0,1,0,0,1,0,0
ST-1436,주말,6,5,0,5,65,0,1,4,0
ST-1436,주말,7,8,0,8,61,0,4,4,2
ST-1436,주말,8,8,4,12,51,0,4,4,1
ST-1436,주말,9,13,9,22,60,2,4,7,10
ST-1436,주말,10,16,15,31,71,0,4,12,5
ST-1436,주말,11,16,11,27,80,1,3,12,10
ST-1436,주말,12,11,11,22,80,0,4,7,5
ST-1436,주말,13,17,9,26,79,1,2,14,6
ST-1436,주말,14,26,13,39,83,3,11,12,8
ST-1436,주말,15,19,9,28,100,1,4,14,6
ST-1436,주말,16,20,17,37,105,1,8,11,7
ST-1436,주말,17,26,10,36,115,1,8,17,9
ST-1436,주말,18,19,15,34,94,0,8,11,9
ST-1436,주말,19,20,5,25,93,2,5,13,2
ST-1436,주말,20,12,10,22,77,1,0,11,4
ST-1436,주말,21,5,13,18,81,1,2,2,6
ST-1436,주말,22,12,17,29,83,0,2,10,14
ST-1436,주말,23,2,7,9,93,0,2,0,1
ST-1436,평일,0,21,9,30,144,0,0,21,5
ST-1436,평일,1,11,7,18,139,0,0,11,5
ST-1436,평일,2,5,5,10,135,0,0,5,1
ST-1436,평일,3,2,1,3,133,0,0,2,1
ST-1436,평일,4,11,2,13,131,0,0,11,0
ST-1436,평일,5,24,0,24,0,0,17,7,0
ST-1436,평일,6,34,2,36,96,0,26,8,2
ST-1436,평일,7,48,8,56,62,0,42,6,14
ST-1436,평일,8,40,30,70,19,0,29,11,11
ST-1436,평일,9,27,11,38,32,0,21,6,6
ST-1436,평일,10,10,4,14,47,0,3,7,2
ST-1436,평일,11,12,6,18,71,1,2,9,4
