대여소_ID,주간,시간대,대여건수,반납건수,총이용건수,잔여자전거수,동일대여소대여반납,중구내대여반납,유출량,유입량
ST-1440,주말,0,31,30,61,157,3,5,23,26
ST-3210,주말,0,10,7,17,149,1,5,4,6
ST-198,주말,0,64,44,108,118,4,19,41,40
ST-946,주말,0,29,9,38,117,0,3,26,10
ST-2786,주말,0,20,4,24,97,0,6,14,1
ST-1436,주말,0,4,2,6,69,0,0,4,2
ST-338,주말,0,15,4,19,61,1,7,7,6
ST-1781,주말,0,8,8,16,55,0,1,7,7
ST-189,주말,0,25,20,45,51,0,6,19,6
ST-2903,주말,0,10,13,23,50,0,2,8,12
ST-1440,주말,1,27,30,57,157,4,12,11,16
ST-3210,주말,1,6,12,18,154,0,5,1,2
ST-198,주말,1,55,56,111,119,1,11,43,21
ST-946,주말,1,6,6,12,101,0,0,6,5
ST-2786,주말,1,3,0,3,83,0,1,2,1
ST-1436,주말,1,7,7,14,69,0,1,6,1
ST-1781,주말,1,23,8,31,65,1,14,8,2
ST-338,주말,1,6,4,10,59,0,3,3,1
ST-2903,주말,1,3,7,10,58,0,0,3,3
ST-189,주말,1,10,22,32,52,0,5,5,12
ST-1440,주말,2,20,19,39,160,1,4,15,10
ST-3210,주말,2,4,5,9,139,1,1,2,4
ST-198,주말,2,35,33,68,106,0,6,29,20
ST-946,주말,2,0,4,4,97,0,0,0,3
ST-2786,주말,2,2,1,3,79,0,0,2,0
ST-1436,주말,2,4,1,5,62,0,0,4,3
ST-189,주말,2,13,11,24,61,0,7,6,3
ST-338,주말,2,6,3,9,56,0,3,3,1
ST-1439,주말,2,3,10,13,51,0,2,1,1
ST-2903,주말,2,10,7,17,49,5,2,3,5
ST-1440,주말,3,8,18,26,161,2,2,4,12
ST-3210,주말,3,5,7,12,143,0,2,3,5
ST-198,주말,3,22,29,51,108,3,8,11,16
ST-946,주말,3,5,8,13,103,0,0,5,1
ST-2786,주말,3,0,0,0,79,0,0,0,0
ST-189,주말,3,3,5,8,59,0,1,2,3
ST-1436,주말,3,1,6,7,59,0,0,1,2
ST-1439,주말,3,6,1,7,57,0,2,4,1
ST-338,주말,3,11,5,16,54,5,0,6,1
ST-2903,주말,3,4,8,12,49,1,0,3,3
ST-1440,주말,4,15,8,23,170,1,0,14,5
ST-3210,주말,4,2,5,7,144,1,0,1,1
ST-198,주말,4,21,23,44,115,0,7,14,13
ST-946,주말,4,3,3,6,105,0,2,1,1
ST-2786,주말,4,2,5,7,79,0,1,1,6
ST-1436,주말,4,0,3,3,63,0,0,0,1
ST-189,주말,4,5,3,8,60,0,4,1,2
ST-2903,주말,4,2,11,13,55,0,0,2,8
ST-1439,주말,4,3,1,4,51,0,1,2,0
ST-338,주말,4,3,2,5,49,2,1,0,0
ST-116,주말,5,0,1,1,0,0,0,0,1
ST-2526,주말,5,0,0,0,0,0,0,0,0
ST-2522,주말,5,0,0,0,0,0,0,0,0
ST-2521,주말,5,1,4,5,0,0,0,1,0
ST-2520,주말,5,0,0,0,0,0,0,0,0
ST-2519,주말,5,0,0,0,0,0,0,0,0
ST-2518,주말,5,0,0,0,0,0,0,0,0
ST-2517,주말,5,0,0,0,0,0,0,0,0
ST-2516,주말,5,0,0,0,0,0,0,0,0
ST-2514,주말,5,1,0,1,0,0,0,1,0
ST-1440,주말,6,19,31,50,144,4,1,14,27
ST-3210,주말,6,12,4,16,144,1,4,7,0
ST-198,주말,6,7,23,30,119,0,2,5,18
ST-946,주말,6,5,2,7,107,1,1,3,1
ST-2786,주말,6,1,12,13,86,0,1,0,10
ST-1436,주말,6,5,0,5,65,0,1,4,0
ST-189,주말,6,13,7,20,62,1,10,2,4
ST-2903,주말,6,6,8,14,61,0,1,5,5
ST-338,주말,6,3,2,5,50,0,0,3,0
ST-1781,주말,6,2,6,8,48,1,1,0,2
ST-1440,주말,7,19,37,56,156,0,6,13,26
ST-198,주말,7,21,15,36,139,0,12,9,18
ST-3210,주말,7,18,5,23,121,0,9,9,2
ST-946,주말,7,9,5,14,103,0,2,7,6
ST-2786,주말,7,0,14,14,98,0,0,0,9
ST-1781,주말,7,5,7,12,66,1,2,2,4
ST-1436,주말,7,8,0,8,61,0,4,4,2
ST-2903,주말,7,11,6,17,61,0,6,5,5
ST-189,주말,7,13,16,29,57,2,3,8,7
ST-338,주말,7,5,5,10,50,1,1,3,1
ST-1440,주말,8,29,34,63,126,5,6,18,31
ST-198,주말,8,21,35,56,123,1,7,13,31
