대여소_ID,주간,시간대,대여건수,반납건수,총이용건수,잔여자전거수
ST-116,주말,0,1,2,3,5
ST-116,주말,1,1,1,2,8
ST-116,주말,2,4,2,6,6
ST-116,주말,3,0,0,0,5
ST-116,주말,4,0,0,0,5
ST-116,주말,5,0,1,1,0
ST-116,주말,6,0,0,0,6
ST-116,주말,7,4,4,8,6
ST-116,주말,8,6,14,20,6
ST-116,주말,9,8,12,20,11
ST-116,주말,10,11,12,23,17
ST-116,주말,11,11,5,16,16
ST-116,주말,12,12,17,29,11
ST-116,주말,13,18,25,43,22
ST-116,주말,14,15,14,29,28
ST-116,주말,15,22,20,42,21
ST-116,주말,16,25,24,49,20
ST-116,주말,17,22,13,35,26
ST-116,주말,18,22,21,43,13
ST-116,주말,19,11,13,24,8
ST-116,주말,20,11,11,22,12
ST-116,주말,21,8,9,17,9
ST-116,주말,22,5,3,8,10
ST-116,주말,23,3,2,5,7
ST-116,평일,0,3,1,4,5
ST-116,평일,1,3,2,5,4
ST-116,평일,2,0,1,1,2
ST-116,평일,3,1,0,1,3
ST-116,평일,4,1,0,1,1
ST-116,평일,5,0,9,9,0
ST-116,평일,6,9,4,13,10
ST-116,평일,7,62,110,172,6
ST-116,평일,8,160,176,336,47
ST-116,평일,9,66,57,123,52
ST-116,평일,10,45,47,92,36
ST-116,평일,11,57,51,108,47
ST-116,평일,12,37,31,68,31
ST-116,평일,13,47,52,99,31
ST-116,평일,14,31,56,87,37
ST-116,평일,15,62,43,105,54
ST-116,평일,16,46,33,79,33
ST-116,평일,17,62,44,106,18
ST-116,평일,18,72,90,162,2
ST-116,평일,19,49,42,91,15
ST-116,평일,20,37,30,67,15
ST-116,평일,21,20,18,38,9
ST-116,평일,22,11,11,22,5
ST-116,평일,23,3,4,7,3
ST-126,주말,0,4,1,5,6
ST-126,주말,1,5,5,10,4
ST-126,주말,2,0,0,0,4
ST-126,주말,3,1,1,2,4
ST-126,주말,4,0,0,0,4
ST-126,주말,5,0,4,4,0
ST-126,주말,6,0,2,2,7
ST-126,주말,7,3,3,6,9
ST-126,주말,8,7,8,15,8
ST-126,주말,9,6,8,14,10
ST-126,주말,10,8,13,21,13
ST-126,주말,11,13,11,24,17
ST-126,주말,12,21,11,32,9
ST-126,주말,13,10,12,22,5
ST-126,주말,14,14,15,29,7
ST-126,주말,15,16,20,36,14
ST-126,주말,16,18,25,43,17
ST-126,주말,17,24,18,42,17
ST-126,주말,18,27,23,50,15
ST-126,주말,19,21,17,38,11
ST-126,주말,20,16,11,27,11
ST-126,주말,21,7,10,17,6
ST-126,주말,22,4,10,14,8
ST-126,주말,23,7,4,11,10
ST-126,평일,0,7,2,9,4
