대여소자치구,대여소_ID,대여소번호,주간,시간대,대여건수,반납건수,총이용건수,잔여자전거수
중구,ST-116,300,주말,0,1,2,3,5
중구,ST-116,300,주말,1,1,1,2,7
중구,ST-116,300,주말,2,4,2,6,6
중구,ST-116,300,주말,3,0,0,0,5
중구,ST-116,300,주말,4,0,0,0,5
중구,ST-116,300,주말,5,0,1,1,5
중구,ST-116,300,주말,6,0,0,0,6
중구,ST-116,300,주말,7,4,4,8,6
중구,ST-116,300,주말,8,6,14,20,6
중구,ST-116,300,주말,9,8,12,20,10
중구,ST-116,300,주말,10,11,12,23,13
중구,ST-116,300,주말,11,11,5,16,13
중구,ST-116,300,주말,12,12,17,29,10
중구,ST-116,300,주말,13,18,25,43,20
중구,ST-116,300,주말,14,15,14,29,23
중구,ST-116,300,주말,15,22,20,42,19
중구,ST-116,300,주말,16,25,24,49,16
중구,ST-116,300,주말,17,22,13,35,20
중구,ST-116,300,주말,18,22,21,43,7
중구,ST-116,300,주말,19,11,13,24,4
중구,ST-116,300,주말,20,11,11,22,10
중구,ST-116,300,주말,21,8,9,17,7
중구,ST-116,300,주말,22,5,3,8,8
중구,ST-116,300,주말,23,3,2,5,4
중구,ST-116,300,평일,0,3,1,4,5
중구,ST-116,300,평일,1,3,2,5,3
중구,ST-116,300,평일,2,0,1,1,2
중구,ST-116,300,평일,3,1,0,1,2
중구,ST-116,300,평일,4,1,0,1,1
중구,ST-116,300,평일,5,0,9,9,1
중구,ST-116,300,평일,6,9,4,13,9
중구,ST-116,300,평일,7,62,110,172,5
중구,ST-116,300,평일,8,160,176,336,46
중구,ST-116,300,평일,9,66,57,123,47
중구,ST-116,300,평일,10,45,47,92,33
중구,ST-116,300,평일,11,57,51,108,37
중구,ST-116,300,평일,12,37,31,68,28
중구,ST-116,300,평일,13,47,52,99,31
중구,ST-116,300,평일,14,31,56,87,32
중구,ST-116,300,평일,15,62,43,105,53
중구,ST-116,300,평일,16,46,33,79,32
중구,ST-116,300,평일,17,62,44,106,18
중구,ST-116,300,평일,18,72,90,162,2
중구,ST-116,300,평일,19,49,42,91,14
중구,ST-116,300,평일,20,37,30,67,13
