대여소_ID,대여소명,주간,시간대,동일_대여소_반납,유출_건수,유입_건수,중구_내_이동_건수
ST-116,소공동_002_1,주말,0,0,1,3,0
ST-116,소공동_002_1,주말,1,0,2,1,0
ST-116,소공동_002_1,주말,2,0,5,1,2
ST-116,소공동_002_1,주말,3,0,2,0,0
ST-116,소공동_002_1,주말,4,0,0,0,0
ST-116,소공동_002_1,주말,5,0,0,2,0
ST-116,소공동_002_1,주말,6,0,0,0,0
ST-116,소공동_002_1,주말,7,0,4,14,4
ST-116,소공동_002_1,주말,8,0,5,14,5
ST-116,소공동_002_1,주말,9,0,6,12,8
ST-116,소공동_002_1,주말,10,2,11,7,8
ST-116,소공동_002_1,주말,11,0,14,8,5
ST-116,소공동_002_1,주말,12,0,19,25,7
ST-116,소공동_002_1,주말,13,0,20,25,6
ST-116,소공동_002_1,주말,14,0,16,11,15
ST-116,소공동_002_1,주말,15,0,17,26,19
ST-116,소공동_002_1,주말,16,2,35,23,7
ST-116,소공동_002_1,주말,17,0,26,20,13
ST-116,소공동_002_1,주말,18,4,26,20,14
ST-116,소공동_002_1,주말,19,3,13,19,5
ST-116,소공동_002_1,주말,20,1,15,11,6
ST-116,소공동_002_1,주말,21,0,11,10,5
ST-116,소공동_002_1,주말,22,0,6,3,3
ST-116,소공동_002_1,주말,23,2,6,1,0
ST-116,소공동_002_1,평일,0,0,6,1,0
ST-116,소공동_002_1,평일,1,0,4,3,0
ST-116,소공동_002_1,평일,2,0,2,2,0
ST-116,소공동_002_1,평일,3,0,2,0,0
ST-116,소공동_002_1,평일,4,0,2,8,0
ST-116,소공동_002_1,평일,5,0,0,8,0
ST-116,소공동_002_1,평일,6,0,6,8,12
ST-116,소공동_002_1,평일,7,0,42,141,59
ST-116,소공동_002_1,평일,8,0,112,232,212
ST-116,소공동_002_1,평일,9,0,37,55,96
ST-116,소공동_002_1,평일,10,13,32,52,42
ST-116,소공동_002_1,평일,11,4,47,47,50
ST-116,소공동_002_1,평일,12,10,22,37,47
ST-116,소공동_002_1,평일,13,5,50,50,37
ST-116,소공동_002_1,평일,14,5,27,64,27
ST-116,소공동_002_1,평일,15,9,67,36,42
ST-116,소공동_002_1,평일,16,8,46,44,30
ST-116,소공동_002_1,평일,17,9,57,31,59
ST-116,소공동_002_1,평일,18,3,94,64,36
ST-116,소공동_002_1,평일,19,1,74,59,31
ST-116,소공동_002_1,평일,20,1,54,25,11
ST-116,소공동_002_1,평일,21,1,36,22,13
ST-116,소공동_002_1,평일,22,2,18,10,8
ST-116,소공동_002_1,평일,23,0,4,2,6
ST-126,명동_001_1,주말,0,0,4,4,2
ST-126,명동_001_1,주말,1,0,3,4,3
ST-126,명동_001_1,주말,2,0,1,1,1
ST-126,명동_001_1,주말,3,0,0,1,1
ST-126,명동_001_1,주말,4,0,0,0,1
ST-126,명동_001_1,주말,5,0,0,8,0
ST-126,명동_001_1,주말,6,0,0,4,0
ST-126,명동_001_1,주말,7,0,2,9,2
ST-126,명동_001_1,주말,8,0,10,14,2
ST-126,명동_001_1,주말,9,0,11,8,0
ST-126,명동_001_1,주말,10,1,10,26,2
ST-126,명동_001_1,주말,11,1,22,12,2
ST-126,명동_001_1,주말,12,0,20,10,14
ST-126,명동_001_1,주말,13,1,15,17,7
ST-126,명동_001_1,주말,14,1,17,10,7
ST-126,명동_001_1,주말,15,1,16,19,12
ST-126,명동_001_1,주말,16,2,20,23,13
ST-126,명동_001_1,주말,17,1,16,20,20
ST-126,명동_001_1,주말,18,0,34,15,11
ST-126,명동_001_1,주말,19,2,27,17,11
ST-126,명동_001_1,주말,20,2,26,4,11
ST-126,명동_001_1,주말,21,0,11,5,7
ST-126,명동_001_1,주말,22,0,8,9,0
ST-126,명동_001_1,주말,23,0,7,5,2
ST-126,명동_001_1,평일,0,2,6,3,3
ST-126,명동_001_1,평일,1,0,4,1,1
ST-126,명동_001_1,평일,2,0,0,1,0
ST-126,명동_001_1,평일,3,0,0,3,0
ST-126,명동_001_1,평일,4,0,0,1,0
ST-126,명동_001_1,평일,5,0,2,9,1
ST-126,명동_001_1,평일,6,1,20,35,27
ST-126,명동_001_1,평일,7,2,58,125,23
ST-126,명동_001_1,평일,8,0,166,145,77
ST-126,명동_001_1,평일,9,1,136,133,28
ST-126,명동_001_1,평일,10,2,43,45,39
ST-126,명동_001_1,평일,11,21,72,70,69
ST-126,명동_001_1,평일,12,20,79,55,44
ST-126,명동_001_1,평일,13,34,69,63,40
ST-126,명동_001_1,평일,14,11,58,58,37
ST-126,명동_001_1,평일,15,5,73,51,49
ST-126,명동_001_1,평일,16,4,121,53,69
ST-126,명동_001_1,평일,17,4,168,88,89
ST-126,명동_001_1,평일,18,1,266,93,138
ST-126,명동_001_1,평일,19,1,104,39,35
ST-126,명동_001_1,평일,20,1,53,48,29
ST-126,명동_001_1,평일,21,3,58,42,22
ST-126,명동_001_1,평일,22,2,35,15,10
ST-126,명동_001_1,평일,23,0,10,6,8
ST-134,명동_001_2,주말,0,0,6,1,2
ST-134,명동_001_2,주말,1,0,2,1,0
ST-134,명동_001_2,주말,2,0,0,0,0
ST-134,명동_001_2,주말,3,0,0,0,0
ST-134,명동_001_2,주말,4,0,0,0,0
ST-134,명동_001_2,주말,5,0,0,2,0
ST-134,명동_001_2,주말,6,0,1,10,0
ST-134,명동_001_2,주말,7,0,2,7,2
ST-134,명동_001_2,주말,8,0,4,4,0
ST-134,명동_001_2,주말,9,2,4,9,0
ST-134,명동_001_2,주말,10,0,7,9,5
ST-134,명동_001_2,주말,11,0,8,8,4
ST-134,명동_001_2,주말,12,0,6,10,9
ST-134,명동_001_2,주말,13,0,4,20,10
ST-134,명동_001_2,주말,14,0,7,15,14
ST-134,명동_001_2,주말,15,1,16,14,29
ST-134,명동_001_2,주말,16,3,11,24,17
ST-134,명동_001_2,주말,17,4,21,31,22
ST-134,명동_001_2,주말,18,2,22,29,19
ST-134,명동_001_2,주말,19,2,13,8,3
ST-134,명동_001_2,주말,20,0,10,7,1
ST-134,명동_001_2,주말,21,0,16,8,5
ST-134,명동_001_2,주말,22,0,7,10,3
ST-134,명동_001_2,주말,23,0,15,8,2
ST-134,명동_001_2,평일,0,0,0,2,6
ST-134,명동_001_2,평일,1,0,6,5,3
ST-134,명동_001_2,평일,2,0,7,5,1
ST-134,명동_001_2,평일,3,0,5,0,2
ST-134,명동_001_2,평일,4,0,2,0,0
ST-134,명동_001_2,평일,5,0,1,24,0
ST-134,명동_001_2,평일,6,0,28,53,3
ST-134,명동_001_2,평일,7,1,65,190,15
ST-134,명동_001_2,평일,8,3,101,252,33
ST-134,명동_001_2,평일,9,4,73,96,40
ST-134,명동_001_2,평일,10,2,28,38,29
ST-134,명동_001_2,평일,11,35,101,61,45
ST-134,명동_001_2,평일,12,22,58,52,55
ST-134,명동_001_2,평일,13,25,58,36,55
ST-134,명동_001_2,평일,14,17,76,57,43
ST-134,명동_001_2,평일,15,13,54,43,39
ST-134,명동_001_2,평일,16,10,91,71,45
ST-134,명동_001_2,평일,17,6,196,77,55
ST-134,명동_001_2,평일,18,11,254,131,141
ST-134,명동_001_2,평일,19,3,115,67,50
ST-134,명동_001_2,평일,20,4,46,26,32
ST-134,명동_001_2,평일,21,4,36,17,13
ST-134,명동_001_2,평일,22,0,16,4,5
ST-134,명동_001_2,평일,23,1,5,0,7
ST-136,명동_002_1,주말,0,0,2,0,0
ST-136,명동_002_1,주말,1,0,2,2,0
