대여소_ID,주간,시간대,동일대여소대여반납,중구내대여반납,유출량,유입량
ST-10,평일,3,0,0,0,1
ST-10,평일,16,0,0,0,1
ST-10,평일,17,0,0,0,2
ST-10,평일,19,0,0,0,1
ST-1020,평일,11,0,0,0,1
ST-1025,평일,10,0,0,0,2
ST-1025,평일,13,0,0,0,1
ST-1025,평일,14,0,0,0,1
ST-1027,주말,12,0,0,0,1
ST-1029,주말,20,0,0,0,1
ST-1029,평일,10,0,0,0,1
ST-1032,주말,6,0,0,0,3
ST-1032,평일,11,0,0,0,1
ST-1036,평일,15,0,0,0,2
ST-105,주말,12,0,0,0,1
ST-105,주말,20,0,0,0,1
ST-105,평일,10,0,0,0,1
ST-105,평일,16,0,0,0,1
ST-105,평일,18,0,0,0,1
ST-1058,평일,8,0,0,0,1
ST-1058,평일,9,0,0,0,1
ST-1058,평일,12,0,0,0,1
ST-1067,평일,6,0,0,0,4
ST-107,평일,12,0,0,0,1
ST-107,평일,21,0,0,0,2
ST-1079,평일,21,0,0,0,1
ST-108,주말,22,0,0,0,1
ST-108,평일,15,0,0,0,2
ST-1082,주말,10,0,0,0,1
ST-1083,평일,13,0,0,0,1
ST-1089,주말,10,0,0,0,1
ST-109,주말,16,0,0,0,2
ST-109,주말,17,0,0,0,1
ST-109,주말,18,0,0,0,5
ST-109,주말,23,0,0,0,1
ST-109,평일,1,0,0,0,1
ST-109,평일,2,0,0,0,1
ST-109,평일,8,0,0,0,1
ST-109,평일,11,0,0,0,1
ST-109,평일,14,0,0,0,1
ST-109,평일,18,0,0,0,1
ST-109,평일,20,0,0,0,4
ST-109,평일,21,0,0,0,5
ST-109,평일,22,0,0,0,2
ST-1093,주말,6,0,0,0,2
ST-1093,평일,6,0,0,0,17
ST-1095,주말,7,0,0,0,2
ST-1095,주말,16,0,0,0,3
ST-1095,평일,7,0,0,0,4
ST-1095,평일,8,0,0,0,1
ST-1095,평일,16,0,0,0,7
ST-1097,평일,10,0,0,0,1
ST-1098,평일,10,0,0,0,1
ST-1098,평일,20,0,0,0,1
ST-1099,주말,20,0,0,0,1
ST-1099,평일,21,0,0,0,1
ST-1101,주말,6,0,0,0,1
